TAZ_NODE,TAZ_SEQ,COUNTY,county_name,COUNTYFP10,TRACTCE10,PUMA10,PUMA20,DistID,DistName,TAZ_X,TAZ_Y
400156,3715,5,Contra Costa,013,345113,01305,01305,23,Danville & San Ramon,-121.94178215199942,37.79910094299939
400157,3716,5,Contra Costa,013,345108,01305,01305,23,Danville & San Ramon,-121.93955149334376,37.768419928004775
400158,3717,5,Contra Costa,013,355112,01305,01305,23,Danville & San Ramon,-121.79401498274862,37.802450638151214
400159,3718,5,Contra Costa,013,355112,01305,01305,23,Danville & San Ramon,-121.88418014426203,37.82267428117764
400160,3719,5,Contra Costa,013,380000,01301,01301,20,Richmond & El Cerrito,-122.32861848992953,37.91106393371495
400161,3720,5,Contra Costa,013,352201,01304,01312,22,Walnut Creek,-122.13359578033732,37.841536471467656
400162,3721,5,Contra Costa,013,361000,01302,01310,20,Richmond & El Cerrito,-122.27694514598534,37.94200081820093
400163,3722,5,Contra Costa,013,360102,01302,01310,20,Richmond & El Cerrito,-122.27473681394527,37.96666748629141
400164,3723,5,Contra Costa,013,360102,01302,01310,20,Richmond & El Cerrito,-122.25998021585977,37.970180201694845
400165,3724,5,Contra Costa,013,355113,01305,01305,23,Danville & San Ramon,-121.90152607874921,37.8064575901302
400166,3725,5,Contra Costa,013,355113,01305,01305,23,Danville & San Ramon,-121.9135805863845,37.80717309797304
400167,3726,5,Contra Costa,013,303202,01309,01309,24,Antioch & Pittsburg,-121.71908121535495,37.93886237408714
400168,3727,5,Contra Costa,013,303202,01309,01309,24,Antioch & Pittsburg,-121.71842073396014,37.95052565406507
400169,3728,5,Contra Costa,013,363000,01302,01310,20,Richmond & El Cerrito,-122.31106409068717,37.980316970658556
400170,3729,5,Contra Costa,013,307202,01308,01308,24,Antioch & Pittsburg,-121.82195391994736,38.00259977931362
400171,3730,5,Contra Costa,013,355109,01308,01308,24,Antioch & Pittsburg,-121.78710315121728,37.97565972902975
400172,3731,5,Contra Costa,013,355109,01308,01308,24,Antioch & Pittsburg,-121.80195891414158,37.97283946139179
400173,3732,5,Contra Costa,013,369001,01301,01301,20,Richmond & El Cerrito,-122.33557027185984,37.95722935174089
400174,3733,5,Contra Costa,013,378000,01301,01301,20,Richmond & El Cerrito,-122.39478496700504,37.944703654157
400175,3734,5,Contra Costa,013,338204,01306,01313,22,Walnut Creek,-122.03994110573228,37.92235327939267
400176,3735,5,Contra Costa,013,338204,01306,01313,22,Walnut Creek,-122.05413434737461,37.912702638873235
400177,3736,5,Contra Costa,013,351102,01304,01312,22,Walnut Creek,-122.07764595322368,37.87440865233754
400178,3737,5,Contra Costa,013,392200,01302,01310,20,Richmond & El Cerrito,-122.31990158516025,38.00589452427081
400179,3738,5,Contra Costa,013,376000,01301,01301,20,Richmond & El Cerrito,-122.36675468120855,37.939480113963576
400180,3739,5,Contra Costa,013,338204,01306,01313,22,Walnut Creek,-122.04668619737443,37.917216491794775
400181,3740,5,Contra Costa,013,308001,01308,01308,24,Antioch & Pittsburg,-121.80081523681453,37.9964790837232
400182,3741,5,Contra Costa,013,304003,01309,01309,24,Antioch & Pittsburg,-121.57936549565602,37.9064183902639
400183,3742,5,Contra Costa,013,305000,01308,01308,24,Antioch & Pittsburg,-121.82104707369304,38.013756738115774
400184,3743,5,Contra Costa,013,307204,01308,01308,24,Antioch & Pittsburg,-121.82586194268893,37.99518000101536
400185,3744,5,Contra Costa,013,345113,01305,01305,23,Danville & San Ramon,-121.94178659376057,37.79067527753791
400186,3745,5,Contra Costa,013,309000,01307,01314,24,Antioch & Pittsburg,-121.89332992713986,38.03508706352921
400187,3746,5,Contra Costa,013,385200,01302,01310,20,Richmond & El Cerrito,-122.30743306221822,37.92821980821198
400188,3747,5,Contra Costa,013,386000,01302,01310,20,Richmond & El Cerrito,-122.31748408360927,37.92557845322624
400189,3748,5,Contra Costa,013,386000,01302,01310,20,Richmond & El Cerrito,-122.31252045897334,37.91898699801975
400190,3749,5,Contra Costa,013,386000,01302,01310,20,Richmond & El Cerrito,-122.30959253908864,37.922535970692856
400191,3750,5,Contra Costa,013,387000,01302,01310,20,Richmond & El Cerrito,-122.30689203376896,37.91987755357987
400192,3751,5,Contra Costa,013,387000,01302,01310,20,Richmond & El Cerrito,-122.30339551432515,37.916485843770424
400193,3752,5,Contra Costa,013,387000,01302,01310,20,Richmond & El Cerrito,-122.30798665664274,37.91438042464479
400194,3753,5,Contra Costa,013,388000,01302,01310,20,Richmond & El Cerrito,-122.30406063546472,37.910883768985514
400195,3754,5,Contra Costa,013,303205,01309,01309,24,Antioch & Pittsburg,-121.72263587753882,37.915883459023256
400196,3755,5,Contra Costa,013,302008,01309,01309,24,Antioch & Pittsburg,-121.66716852353252,37.98855053400405
400197,3756,5,Contra Costa,013,304005,01309,01309,24,Antioch & Pittsburg,-121.60239901606563,37.94519522627872
400198,3757,5,Contra Costa,013,302006,01309,01309,24,Antioch & Pittsburg,-121.70454586017915,38.004362565293846
400199,3758,5,Contra Costa,013,308002,01308,01308,24,Antioch & Pittsburg,-121.76275064578948,37.98826923209207
400200,3759,5,Contra Costa,013,308002,01308,01308,24,Antioch & Pittsburg,-121.77722429101529,37.98981600033128
400201,3760,5,Contra Costa,013,369001,01301,01301,20,Richmond & El Cerrito,-122.34208823728952,37.960658418375175
400202,3761,5,Contra Costa,013,355110,01308,01308,24,Antioch & Pittsburg,-121.76573673073088,37.96990224194821
400203,3762,5,Contra Costa,013,303204,01309,01309,24,Antioch & Pittsburg,-121.71715654521095,37.929028629607124
400204,3763,5,Contra Costa,013,303203,01309,01309,24,Antioch & Pittsburg,-121.73192176702544,37.94707188399318
400205,3764,5,Contra Costa,013,355111,01308,01308,24,Antioch & Pittsburg,-121.78005080118763,37.97849085723936
400206,3765,5,Contra Costa,013,355110,01308,01308,24,Antioch & Pittsburg,-121.77133420763154,37.966708011475546
400207,3766,5,Contra Costa,013,304004,01309,01309,24,Antioch & Pittsburg,-121.61159663532152,37.895125269844094
400208,3767,5,Contra Costa,013,304005,01309,01309,24,Antioch & Pittsburg,-121.6280041570643,37.90551150580079
400209,3768,5,Contra Costa,013,304003,01309,01309,24,Antioch & Pittsburg,-121.59385441041955,37.89694445960961
400210,3769,5,Contra Costa,013,345112,01305,01305,23,Danville & San Ramon,-121.92615285095623,37.75548398486725
400211,3770,5,Contra Costa,013,355115,01305,01305,23,Danville & San Ramon,-121.91275746589343,37.76316050856111
400212,3771,5,Contra Costa,013,355114,01305,01305,23,Danville & San Ramon,-121.91371746622615,37.78371753986383
400213,3772,5,Contra Costa,013,307202,01308,01308,24,Antioch & Pittsburg,-121.8301352863651,38.00513251135828
400214,3773,5,Contra Costa,013,333102,01307,01313,21,Concord & Martinez,-121.95557479225894,37.96237592261663
400215,3774,5,Contra Costa,013,355200,01307,01314,21,Concord & Martinez,-121.97975853786112,37.99483530900282
400216,3775,5,Contra Costa,013,313203,01307,01314,24,Antioch & Pittsburg,-121.93299358425482,38.01131506260408
400217,3776,5,Contra Costa,013,355200,01307,01314,21,Concord & Martinez,-121.95348764002604,38.01018616206098
400218,3777,5,Contra Costa,013,314104,01307,01314,24,Antioch & Pittsburg,-121.93140524014649,38.02270744891583
400219,3778,5,Contra Costa,013,314104,01307,01314,24,Antioch & Pittsburg,-121.9380215278731,38.02313575130378
400220,3779,5,Contra Costa,013,314103,01307,01314,24,Antioch & Pittsburg,-121.95740218946135,38.02926794689644
400221,3780,5,Contra Costa,013,356002,01303,01311,20,Richmond & El Cerrito,-122.18490377399827,37.98999265710155
400222,3781,5,Contra Costa,013,319000,01303,01311,21,Concord & Martinez,-122.12576161089547,37.996853646328574
400223,3782,5,Contra Costa,013,338302,01306,01313,22,Walnut Creek,-122.01997745812412,37.90803897380292
400224,3783,5,Contra Costa,013,321200,01303,01311,21,Concord & Martinez,-122.07141835025904,37.97959532398848
400225,3784,5,Contra Costa,013,322000,01303,01311,21,Concord & Martinez,-122.08550031489149,37.9626513867748
400226,3785,5,Contra Costa,013,347000,01304,01312,21,Concord & Martinez,-122.09678719552144,37.952503395421125
400227,3786,5,Contra Costa,013,339002,01304,01313,22,Walnut Creek,-122.06604034046833,37.9002670804104
400228,3787,5,Contra Costa,013,324001,01306,01313,21,Concord & Martinez,-122.054334679582,37.9482193940842
400229,3788,5,Contra Costa,013,360101,01302,01310,20,Richmond & El Cerrito,-122.29138676820948,37.989669064693636
400230,3789,5,Contra Costa,013,363000,01302,01310,20,Richmond & El Cerrito,-122.30571159819453,37.9876417105242
400231,3790,5,Contra Costa,013,351101,01304,01312,22,Walnut Creek,-122.06110280655892,37.84876258052957
400232,3791,5,Contra Costa,013,345204,01304,01312,23,Danville & San Ramon,-122.04221172116083,37.84988157683945
400233,3792,5,Contra Costa,013,345204,01304,01312,23,Danville & San Ramon,-122.04180204046047,37.82945900152991
400234,3793,5,Contra Costa,013,338203,01306,01313,22,Walnut Creek,-122.05509524126231,37.92451983952124
400235,3794,5,Contra Costa,013,340001,01304,01312,22,Walnut Creek,-122.06535395933619,37.9270639733299
400236,3795,5,Contra Costa,013,340002,01304,01312,22,Walnut Creek,-122.08428055011913,37.90783357510627
