GEOID10,MAZ_NODE,TAZ_NODE
060014011004008,310287,300170
060014011004009,320972,300170
060014011004010,320972,300170
060014011004011,320972,300170
060014011004012,320972,300170
060014011004013,315116,300170
060014011004014,318671,300170
060014011004015,315116,300170
060014011004016,315116,300170
060014011004017,315116,300170
060014011004018,315116,300170
060014011004019,318671,300170
060014011004020,315106,300170
060014011004021,315106,300170
060014011004022,315106,300170
060014011004023,315444,300170
060014011004024,315444,300170
060014011004025,315444,300170
060014011004026,315106,300170
060014011004027,315106,300170
060014011004028,325002,300170
060014011004029,315444,300170
060014011004030,315444,300170
060014011004031,316951,300170
060014011004032,316951,300170
060014011004033,316273,300170
060014011004034,316273,300170
060014011004035,316273,300170
060014011004036,316273,300170
060014011004037,315116,300170
060014012001000,327012,300120
060014012001001,327012,300120
060014012001002,327012,300120
060014012001003,326812,300120
060014012001004,315557,300120
060014012001005,314617,300120
060014012001006,314617,300120
060014012001007,315557,300120
060014012001008,326812,300120
060014012001009,327012,300120
060014012001010,327012,300120
060014012001011,327188,300120
060014012001012,315557,300120
060014012001013,327188,300120
060014012001014,316211,300120
060014012001015,320275,300120
060014012001016,320275,300120
060014012001017,312259,300120
060014012001018,327012,300120
060014012001019,327188,300120
060014012001020,312259,300120
060014012001021,312259,300120
060014012002000,310467,300173
060014012002001,327185,300173
060014012002002,333547,300173
060014012002003,327009,300173
060014012002004,333545,300173
060014012002005,333545,300173
060014012002006,327009,300173
060014012002007,320278,300173
060014012002008,316212,300173
060014012002009,310467,300173
060014012003000,325042,300175
060014012003001,325042,300175
060014012003002,324135,300175
060014012003003,312261,300175
060014012003004,312261,300175
060014012003005,324135,300175
060014012003006,325042,300175
060014012003007,325042,300175
060014012003008,325042,300175
060014012003009,316214,300175
060014012003010,316213,300175
060014012003011,316213,300175
060014012003012,321006,300175
060014012003013,321006,300175
060014012003014,321006,300175
060014012003015,316214,300175
060014012003016,328505,300175
060014013001000,310663,300111
060014013001001,310663,300111
060014013001002,321437,300111
060014013001003,315447,300111
060014013001004,315447,300111
060014013001005,315447,300111
060014013001006,315447,300111
060014013001007,315447,300111
060014013001008,321437,300111
060014013001009,321580,300111
060014013001010,321579,300111
060014013001011,310461,300111
060014013001012,310461,300111
060014013001013,315447,300111
060014013001014,310461,300111
060014013001015,310461,300111
060014013001016,320636,300111
060014013001017,320636,300111
060014013001018,320636,300111
060014013001019,320636,300111
060014013001020,320636,300111
060014013001021,329451,300111
060014013001022,328506,300111
060014013001023,329451,300111
060014013001024,310461,300111
060014013001025,310461,300111
060014013001026,320636,300111
060014013001027,311973,300111
060014013001028,311973,300111
060014013001029,318262,300111
060014013001030,326335,300111
060014013001031,327778,300111
060014013001032,327626,300111
060014013001033,310663,300111
060014013001034,318850,300111
060014013001035,318850,300111
060014013001036,327809,300111
060014013001037,318850,300111
060014013002000,310638,300112
060014013002001,310638,300112
060014013002002,310638,300112
060014013002003,310638,300112
060014013002004,310638,300112
060014013002005,310638,300112
060014013002006,310638,300112
060014013002007,318260,300112
060014013002008,318260,300112
060014013002009,310638,300112
060014013002010,310640,300112
060014013002011,310640,300112
060014013002012,321582,300112
060014013002013,318260,300112
060014013002014,321582,300112
060014013002015,321582,300112
060014013002016,324599,300112
060014013002017,324599,300112
060014013002018,324599,300112
060014013002019,320642,300112
060014013002020,315075,300112
060014013002021,315075,300112
060014013002022,315075,300112
060014013002023,315075,300112
060014013002024,315075,300112
060014013002025,315075,300112
060014013002026,315075,300112
060014013003000,310639,300419
060014013003001,310639,300419
060014013003002,310639,300419
060014013003003,310639,300419
060014013003004,310639,300419
060014013003005,310641,300419
