tract,hhwrks0_,hhwrks1_,hhwrks2_,hhwrks3p_,ownkidsyes_,rentkidsyes_,ownkidsno_,rentkidsno_,county_fips,taz,weight
06001441521,0,0,0,0,0,0,0,0,06001,788,1.0
06001441522,0,0,0,0,0,0,0,0,06001,789,1.0
06001441523,0,0,0,0,0,0,0,0,06001,,
06001441524,0,0,0,0,0,0,0,0,06001,,
06001441525,0,0,0,0,0,0,0,0,06001,752,1.0
06001441601,0,0,0,0,0,0,0,0,06001,786,1.0
06001441602,0,0,0,0,0,0,0,0,06001,785,1.0
06001441701,0,0,0,0,0,0,0,0,06001,,
06001441702,0,0,0,0,0,0,0,0,06001,774,1.0
06001441800,0,0,0,0,0,0,0,0,06001,776,1.0
06001441921,0,0,0,0,0,0,0,0,06001,762,1.0
06001441923,0,0,0,0,0,0,0,0,06001,777,1.0
06001441924,0,0,0,0,0,0,0,0,06001,,
06001441926,0,0,0,0,0,0,0,0,06001,,
06001441927,0,0,0,0,0,0,0,0,06001,763,1.0
06001441928,0,0,0,0,0,0,0,0,06001,778,1.0
06001441929,0,0,0,0,0,0,0,0,06001,,
06001442000,0,0,0,0,0,0,0,0,06001,780,1.0
06001442100,0,0,0,0,0,0,0,0,06001,779,1.0
06001442200,0,0,0,0,0,0,0,0,06001,756,1.0
06001442301,0,0,0,0,0,0,0,0,06001,761,1.0
06001442302,0,0,0,0,0,0,0,0,06001,,
06001442400,0,0,0,0,0,0,0,0,06001,760,1.0
06001442501,0,0,0,0,0,0,0,0,06001,,
06001442502,0,0,0,0,0,0,0,0,06001,764,1.0
06001442601,0,0,0,0,0,0,0,0,06001,,
06001442602,0,0,0,0,0,0,0,0,06001,775,1.0
06001442700,0,0,0,0,0,0,0,0,06001,766,1.0
06001442800,0,0,0,0,0,0,0,0,06001,765,1.0
06001442900,0,0,0,0,0,0,0,0,06001,759,1.0
06001443001,0,0,0,0,0,0,0,0,06001,757,1.0
06001443002,0,0,0,0,0,0,0,0,06001,758,1.0
06001443102,0,0,0,0,0,0,0,0,06001,753,1.0
06001443103,0,0,0,0,0,0,0,0,06001,754,1.0
06001443104,0,0,0,0,0,0,0,0,06001,,
06001443105,0,0,0,0,0,0,0,0,06001,755,1.0
06001443200,0,0,0,0,0,0,0,0,06001,747,1.0
06001443301,0,0,0,0,0,0,0,0,06001,748,1.0
06001443321,0,0,0,0,0,0,0,0,06001,,
06001443322,0,0,0,0,0,0,0,0,06001,749,1.0
06001444100,0,0,0,0,0,0,0,0,06001,771,1.0
06001444200,0,0,0,0,0,0,0,0,06001,770,1.0
06001444301,0,0,0,0,0,0,0,0,06001,,
06001444303,0,0,0,0,0,0,0,0,06001,,
06001444304,0,0,0,0,0,0,0,0,06001,768,1.0
06001444400,0,0,0,0,0,0,0,0,06001,772,1.0
06001444500,0,0,0,0,0,0,0,0,06001,773,1.0
06001444601,0,0,0,0,0,0,0,0,06001,,
06001444602,0,0,0,0,0,0,0,0,06001,767,1.0
06001450101,0,0,0,0,0,0,0,0,06001,,
06001450102,0,0,0,0,0,0,0,0,06001,730,1.0
