,county,grouping,universe,share,dataset
253,Solano,"Total: Car, truck, or van - drove alone: 2 vehicles available",53428,8.635037617073545,2023 ACS 1 Year
254,Solano,"Total: Car, truck, or van - drove alone: 3 or more vehicles available",80496,13.009769933816578,2023 ACS 1 Year
255,Solano,"Total: Car, truck, or van - carpooled:",19684,3.1813296483955167,2023 ACS 1 Year
256,Solano,"Total: Car, truck, or van - carpooled: No vehicle available",621,0.10036606948047226,2023 ACS 1 Year
257,Solano,"Total: Car, truck, or van - carpooled: 1 vehicle available",2154,0.34812965162791826,2023 ACS 1 Year
258,Solano,"Total: Car, truck, or van - carpooled: 2 vehicles available",7405,1.196796690020768,2023 ACS 1 Year
259,Solano,"Total: Car, truck, or van - carpooled: 3 or more vehicles available",9504,1.536037237266358,2023 ACS 1 Year
260,Solano,Total: Public transportation (excluding taxicab):,3991,0.6450257379976888,2023 ACS 1 Year
261,Solano,Total: Public transportation (excluding taxicab): No vehicle available,945,0.15273097529637084,2023 ACS 1 Year
262,Solano,Total: Public transportation (excluding taxicab): 1 vehicle available,504,0.08145652015806444,2023 ACS 1 Year
263,Solano,Total: Public transportation (excluding taxicab): 2 vehicles available,1095,0.17697398724817573,2023 ACS 1 Year
264,Solano,Total: Public transportation (excluding taxicab): 3 or more vehicles available,1447,0.23386425529507787,2023 ACS 1 Year
265,Solano,Total: Walked:,2711,0.4381520360089538,2023 ACS 1 Year
266,Solano,Total: Walked: No vehicle available,228,0.036849378166743434,2023 ACS 1 Year
267,Solano,Total: Walked: 1 vehicle available,624,0.10085092971950835,2023 ACS 1 Year
268,Solano,Total: Walked: 2 vehicles available,1562,0.25245056445812825,2023 ACS 1 Year
269,Solano,Total: Walked: 3 or more vehicles available,297,0.04800116366457369,2023 ACS 1 Year
