"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","gqpop","hhlds"
"105","3","3","1","2692.0","292.396302275129","366.1431811765023","1475.0","213","3225","564.0","369.0","473.0","1848.0","80","34","10","0.15898","204.25148819883128","219","274","3055","1644","903","167","221","1066","0","32","85","48","68","1","0","0","0","4.26819","1","0","75","2692.0"
"1050","20","20","5","3554.0","456.9804970130752","716.5851173957006","2067.0","1497","1315","858.0","528.0","603.0","889.0","485","221","91","0.12546","213.8918536606106","790","1435","2907","1676","868","493","331","607","1","279","447","0","0","4","858","0","0","1.61679","2","0","38","3554.0"
"1051","20","20","5","2018.0","206.1683822904789","223.565216822853","947.0","534","939","337.0","206.0","323.0","545.0","250","79","89","0.18563","97.9710872619141","170","555","1462","823","594","679","221","791","0","111","177","0","0","4","0","0","0","1.77146","2","0","5","2018.0"
"1052","20","20","5","1651.0","177.6135562283721","177.6135562283721","765.0","559","10","62.0","46.0","70.0","349.0","158","82","25","0.33449","79.11217989051035","44","114","353","314","332","4","37","5","0","11","5","0","0","4","0","0","0","1.10796","1","0","0","1651.0"
"1053","20","20","5","619.0","67.22174793529227","77.51503502966928","378.0","1586","86","46.0","132.0","264.0","1144.0","391","202","16","0.26802","39.13237691365495","229","581","941","1348","882","78","27","295","0","7","9","0","0","4","0","0","0","1.2929","1","0","2","619.0"
"1054","20","20","5","527.0","59.91557864581353","105.63457024245218","316.0","1020","100","77.0","79.0","200.0","754.0","243","118","24","0.21775","32.65249511464831","128","387","881","949","438","68","69","203","0","17","18","0","0","4","0","0","0","1.34731","1","0","9","527.0"
"1055","20","20","5","711.0","84.87462381046255","136.87462381046254","467.0","1570","456","181.0","215.0","660.0","1021.0","324","189","24","0.14345","48.2932922560561","402","1022","2406","1457","729","96","107","392","0","114","72","0","0","4","0","0","0","1.5398","3","0","3","711.0"
"1056","20","20","5","757.0","85.19731997943654","88.19731997943654","405.0","1109","715","356.0","383.0","282.0","746.0","242","124","41","0.1834","41.85666837867274","319","764","1697","1316","566","98","106","339","0","18","1791","0","0","4","0","0","0","1.9945","3","0","22","757.0"
"1057","20","20","5","1032.0","170.48375332987456","183.48375332987456","747.0","804","435","305.0","209.0","415.0","459.0","159","74","20","0.04328","77.56285842190121","491","1047","2184","894","167","2214","22","121","0","3287","4","0","0","4","0","0","0","4.35047","3","0","6","1032.0"
"1058","20","20","5","963.0","127.33347505699362","418.3334750569936","579.0","1417","727","564.0","269.0","392.0","959.0","476","179","105","0.108","59.95977548693028","380","1517","2752","1460","576","374","460","1164","0","44","646","0","0","3","0","0","0","1.70791","3","0","210","963.0"
"1059","20","20","5","2637.0","212.5183568327876","359.1819246042777","1252.0","1233","1646","900.0","1153.0","1074.0","3071.0","3333","177","758","0.16919","129.51645688332485","306","658","2528","1916","745","1443","642","485","7","2375","1270","0","0","4","125","0","0","1.29608","3","0","3","2637.0"
"106","3","3","1","2235.0","300.2025967467857","658.6030590409202","1472.0","134","3334","647.0","261.0","601.0","1874.0","110","22.22288","38","0.13832","203.8689673061944","275","297","3328","1427","630","744","582","1941","0","211","2037","48","68","1","0","0","0","4.21579","2","0","242","2235.0"
"1060","20","20","5","642.0","110.13169197832462","223.20526596564892","431.0","1475","600","492.0","336.0","527.0","581.0","420","148","107","0.09119","44.74123816212685","628","1549","2556","1162","531","249","124","699","11","398","111","0","0","4","0","0","0","1.59814","3","0","20","642.0"
"1061","20","20","5","1674.0","204.80063831507107","235.80063831507107","802.0","1394","1046","855.0","661.0","558.0","415.0","318","141.54024","79","0.12199","82.95340430679997","477","1885","2792","1354","640","157","152","452","4","222","325","0","0","3","900","0","0","1.70934","3","0","199","1674.0"
"1062","20","20","5","1834.0","163.7717179980028","173.7717179980028","976.0","1089","861","363.0","427.0","606.0","2389.0","9761","113","2631","0.33166","101.01085971535042","68","245","870","1150","863","239","1048","929","66","1904","401","0","0","5","0","0","0","0.98918","1","0","3","1834.0"
"1063","20","20","5","963.0","153.22929766643142","193.22929766643145","700.0","1243","802","432.0","208.0","555.0","585.0","301","127","54","0.10354","72.4444089686819","528","1328","2426","947","450","35","140","603","0","25","465","0","0","3","0","0","0","1.73691","3","0","7","963.0"
"1064","20","20","5","642.0","95.92474084351706","130.92474084351704","440.0","929","234","120.0","259.0","339.0","576.0","207","99","24","0.10732","45.49163726564605","267","1086","1741","784","399","46","10","208","0","24","7","0","0","4","0","0","0","1.59746","3","0","0","642.0"
"1065","20","20","5","619.0","81.47691707160016","139.47691707160016","488.0","2057","273","135.0","463.0","798.0","1045.0","388","215","54","0.13226","50.98996845991505","385","1293","3020","2069","703","64","34","554","0","30","14","0","0","4","1947","0","0","1.48532","3","0","25","619.0"
"1066","20","20","5","3462.0","359.13930904074783","733.1393090407478","1640.0","929","1617","443.0","404.0","1054.0","599.0","401","126","92","0.19752","169.71540083682544","475","1367","2502","1612","1066","556","262","3259","0","44","295","0","0","4","0","0","0","2.3201","2","0","23","3462.0"
"1067","20","20","5","1697.0","239.14579350259737","243.02847680992969","1029.0","1767","775","485.0","361.0","802.0","881.0","357","176","64","0.09892","106.48549004501238","456","2095","3424","2046","663","90","35","499","0","67","61","0","0","4","0","0","0","1.65323","3","0","43","1697.0"
"1068","20","20","5","596.0","103.38203324022588","488.3820332402259","495.0","1288","378","127.0","335.0","363.0","498.0","3921","123","605","0.07351","51.26142632863289","440","1630","2164","1163","344","112","90","189","2","480","309","0","0","5","0","0","0","1.10253","3","0","124","596.0"
"1069","20","20","5","3829.0","377.6728067303944","397.7379981179543","1894.0","2228","2154","400.0","684.0","1157.0","1649.0","7997","429","805.17316","0.14637","195.985735885014","652","2125","4638","3384","1212","1626","1837","1942","0","1552","606","0","0","4","525","0","0","1.32759","1","0","16","3829.0"
"107","3","3","1","834.0","105.2773086386692","838.2773086386692","573.0","126","687","113.0","195.0","153.0","732.0","223","10","106","0.08664","79.34252226472461","78","114","1319","351","181","2332","1746","2407","0","2920","4970","52.35999","74.17666","1","0","197","0","4.17095","2","0","231","834.0"
"1070","20","20","5","1421.0","216.6604011474861","216.75590426413797","1030.0","984","315","112.0","258.0","375.0","481.0","245","152","21","0.11081","106.55450584141678","212","955","1875","1033","419","27","58","227","0","18","9","0","0","4","0","0","0","1.42759","1","0","6","1421.0"
"1071","20","20","5","1972.0","308.5328264265437","308.5328264265437","1386.0","1290","582","216.0","438.0","420.0","664.0","266","156","45","0.1144","143.42675014074112","497","1296","2477","1378","576","36","35","136","0","19","9","0","0","4","0","0","0","1.47931","3","0","0","1972.0"
"1072","20","20","5","1765.0","251.8303558524171","261.83035585241714","1185.0","1278","558","196.0","349.0","438.0","762.0","328","121","122","0.12613","122.64166406854524","348","1098","2415","1428","594","127","66","526","0","13","155","0","0","4","408","1909","5143","1.46982","2","0","2","1765.0"
"1073","20","20","5","2545.0","299.15467152966573","332.15467152966573","1528.0","1330","703","291.0","282.0","723.0","616.0","429","211","81","0.17116","158.05743618321335","416","790","1917","1155","770","30","81","331","0","16","83","0","0","4","0","0","0","1.2738","1","0","18","2545.0"
"1074","20","20","5","3370.0","418.4884941149296","482.4884941149296","1990.0","2314","593","270.0","266.0","903.0","1166.0","1081","491","181","0.20748","205.89126957591543","228","1001","2343","2323","1055","1569","332","1511","0","77","63","0","0","4","14","0","0","1.30191","1","0","24","3370.0"
"1075","20","20","5","1100.0","131.9458800919431","164.20038147698466","652.0","762","346","122.0","141.0","359.0","376.0","372","134","58","0.14747","67.47063133343269","135","529","968","778","282","157","250","310","0","27","25","0","0","4","0","0","0","1.31011","1","0","3","1100.0"
"1076","20","20","5","1490.0","160.5058342946995","180.26844557066389","864.0","1230","81","120.0","51.0","225.0","773.0","331","181","35","0.26734","89.43703503024128","188","368","1051","1076","661","11","23","153","0","1","12","0","0","4","7","0","0","1.203","1","0","0","1490.0"
"1077","20","20","5","1926.0","232.81540235981512","272.65778646577536","1221.0","1538","557","219.0","228.0","404.0","1029.0","3869","398","76","0.20441","126.38606796891057","195","905","2089","1542","802","62","73","410","0","27","30","0","0","4","0","0","0","1.15238","1","0","5","1926.0"
"1078","20","20","5","2155.0","282.0061427764986","303.0061427764986","1502.0","1283","456","145.0","179.0","377.0","907.0","551","345","93","0.22926","155.45198235747847","138","670","1475","1324","816","97","415","265","0","177","198","0","0","4","1329","0","0","1.18372","1","0","24","2155.0"
"1079","20","20","5","2453.0","309.6856318452841","355.6940801395842","1456.0","3183","147","288.0","387.0","476.0","1915.0","2535","892","299","0.2731","150.66937827073818","418","1236","2541","2755","1977","207","196","523","0","37","77","0","0","4","40","0","0","1.06361","1","0","44","2453.0"
"108","3","3","1","3337.0","363.00563108536","616.0056310853599","1818.0","5","485","248.0","111.0","135.0","712.0","113.7","7","103","0.05882","257.1026839295876","52","58","661","144","54","645","743","1080","4","1289","1251","0","0","2","0","942","125","3.00463","3","0","90","3337.0"
"1080","20","20","5","1536.0","180.40279097906145","192.6474663037368","821.0","1695","326","212.0","305.0","333.0","939.0","476","285","48","0.16257","84.91128608960845","225","1291","1903","1756","761","179","36","404","0","13","12","0","0","4","22","0","0","1.28653","1","0","16","1536.0"
"1081","20","20","5","1100.0","158.5104022491502","177.5104022491502","832.0","1304","0","147.0","219.0","262.0","711.0","486","149","18","0.19885","86.07230088307506","223","807","1288","1195","822","0","31","14","0","6","20","0","0","4","0","0","0","1.3614","1","0","12","1100.0"
"1082","20","20","5","2797.0","335.56541968051283","368.9909439032171","1746.0","1623","449","194.0","280.0","282.0","1033.0","509","259","73","0.20609","180.71420252978297","338","884","1942","1747","1033","167","157","502","2","241","92","0","0","4","0","0","0","1.35496","1","0","17","2797.0"
"1083","20","20","5","3256.0","391.5944889284401","397.1716782883332","2061.0","4114","1417","573.0","665.0","1211.0","3588.0","13462","642","110","0.18468","213.42214478871745","757","2404","5321","4470","2004","155","605","1132","0","2015","751","0","0","4","0","0","0","1.50482","1","0","5","3256.0"
"1084","20","20","5","1697.0","205.7286994904444","245.7286994904444","981.0","2040","244","133.0","142.0","457.0","1494.0","2464","627","47","0.26699","101.50014772764392","74","983","1682","1959","1306","59","100","419","0","23","44","0","0","4","1160","0","0","1.09146","1","0","31","1697.0"
"1085","20","20","5","3233.0","420.3035804814856","435.3035804814856","2135.0","1333","49","117.0","147.0","227.0","919.0","679","352","21","0.21066","220.9659081258532","224","589","1596","1497","803","244","62","197","0","11","16","0","0","4","0","0","0","1.17519","1","0","8","3233.0"
"1086","20","20","5","3645.0","469.25370317283887","487.0420808286712","2359.0","1971","191","272.0","132.0","425.0","1479.0","950","515","69","0.22263","244.86476789942992","199","1082","2268","1843","1112","207","176","603","0","62","444","0","0","4","980","0","0","1.19832","1","0","1","3645.0"
