"ZONE","SD","TOTACRE","RESACRE","CIACRE","SFDU","MFDU","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TOPOLOGY","TERMINAL","ZERO","DISTRICT","gqpop","TOTHH","HHPOP","TOTPOP","EMPRES","hhlds"
"1125","21","1291","800","35","1650","269","0","0","4","1","0","0","1","1.01137","0","21","9","1742.0","188.95430601462112","188.98968240293868","906.0","1742.0"
"1126","21","1338","695","64","2586","198","0","0","4","0","0","0","1","1.08784","0","21","11","2866.0","281.5788837887253","291.4965257479798","1380.0","2866.0"
"1127","21","1072","425","278","2153","366","0","0","4","2013","6365","13678","1","1.19198","0","21","8","2797.0","317.33576190700035","336.4321603744333","1501.0","2797.0"
"1128","21","473","304","46","1503","205","0","0","4","0","0","0","2","1.28897","0","21","11","1100.0","128.74037476672143","184.74037476672143","670.0","1100.0"
"1129","21","712","471","84","1601","583","0","0","4","164","0","0","2","1.29149","0","21","89","2361.0","267.74575481807597","575.7251344749811","1311.0","2361.0"
"113","3","186","82","27","847","1789","0","0","3","0","0","0","1","2.21976","0","3","7","1826.0","232.64405816654318","243.1429411361256","1030.0","1826.0"
"1130","21","552","406","15","1286","103","0","0","4","63","0","0","1","1.07092","0","21","11","3049.0","306.09293561336693","328.09293561336693","1348.0","3049.0"
"1131","21","6489","1518","56","2146","210","0","0","5","0","0","0","1","0.97552","0","21","16","4058.0","540.4778845562797","541.5346990061976","2594.0","4058.0"
"1132","22","2461","1597","42","1767","35","0","0","5","1727","0","0","1","0.96563","0","22","18","2705.0","374.652574946869","395.652574946869","1514.0","2705.0"
"1133","22","1611","1115","74","2754","317","0","0","4","0","0","0","1","1.05591","0","22","29","2018.0","209.47309047045817","240.75995339355504","976.0","2018.0"
"1134","22","656","325","102.5097","1371","1125","0","0","4","72","0","0","2","1.4132","0","22","15","2935.0","367.5606710777649","521.5606710777649","1900.0","2935.0"
"1135","22","651","340","24","1419","1531","0","0","4","0","0","0","1","1.29235","0","22","2","3645.0","342.7954999185854","351.69543618372245","1934.0","3645.0"
"1136","22","400.29999","272","54","1141","1587","0","0","4","0","0","0","3","1.47115","0","22","2","3943.0","358.44067007205194","371.10921045054175","2320.0","3943.0"
"1137","22","914","431","338","1309","157","0","0","3","1845","0","0","3","1.3968","0","22","32","1651.0","175.28407274127142","310.2840727412714","865.0","1651.0"
"1138","22","1053","571","38","2057","303","0","0","4","1148","0","0","2","1.16083","0","22","10","1651.0","187.67105397179276","202.67105397179276","849.0","1651.0"
"1139","22","1841","403","9","1225","0","0","0","4","0","0","0","1","1.06744","0","22","7","1307.0","160.07976845241856","163.07976845241856","636.0","1307.0"
